CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
323.7,-83.40,70.50,23.30,23.53,999.97,23.29,44.90,0.00,0.00,
307.3,1.27,70.50,23.30,23.53,1000.08,23.29,44.80,0.00,0.00,
307.3,2.93,70.50,23.30,23.53,999.94,23.29,44.30,0.00,0.00,
307.3,7.08,70.50,23.30,23.53,999.99,23.29,44.50,0.00,0.00,
307.3,7.08,70.50,23.30,23.53,1000.02,23.29,44.30,0.00,0.00,
307.3,12.06,70.50,23.30,23.53,999.93,23.29,44.10,0.00,0.00,
307.3,6.25,70.50,23.30,23.53,999.90,23.29,45.50,0.00,0.00,
307.3,7.08,70.50,23.30,23.53,999.99,23.29,44.50,0.00,0.00,
307.3,7.91,70.50,23.30,23.53,999.90,23.29,45.10,0.00,0.00,
307.3,10.40,70.50,23.30,23.53,1000.08,23.29,44.70,0.00,0.00,
307.3,12.89,70.50,23.30,23.53,1000.07,23.29,44.80,0.00,0.00,
307.3,-5.37,70.50,23.30,23.53,999.97,23.29,44.10,0.00,0.00,
307.3,-1.22,70.50,23.30,23.53,1000.09,23.29,44.30,0.00,0.00,
307.3,12.06,70.50,23.30,23.53,999.91,23.29,44.00,0.00,0.00,
307.3,2.10,70.50,23.30,23.53,1000.03,23.29,45.30,0.00,0.00,
307.3,4.59,70.50,23.30,23.53,999.95,23.29,45.10,0.00,0.00,
307.3,5.42,70.50,23.30,23.53,1000.04,23.29,44.90,0.00,0.00,
307.3,5.42,70.50,23.30,23.53,1000.03,23.29,44.80,0.00,0.00,
307.3,15.38,70.50,23.30,23.53,999.98,23.29,45.20,0.00,0.00,
307.3,-1.22,70.50,23.30,23.53,1000.06,23.29,44.70,0.00,0.00,
307.3,10.40,70.50,23.30,23.53,999.92,23.29,44.50,0.00,0.00,
307.3,2.93,70.50,23.30,23.53,999.94,23.29,44.50,0.00,0.00,
307.3,11.23,70.50,23.30,23.53,1000.07,23.29,44.40,0.00,0.00,
307.3,-5.37,70.50,23.30,23.53,1000.03,23.29,44.50,0.00,0.00,
307.3,-1.22,70.50,23.30,23.53,1000.05,23.29,44.90,0.00,0.00,
307.3,17.04,70.50,23.30,23.53,1000.04,23.29,44.80,0.00,0.00,
307.3,2.10,70.50,23.30,23.53,999.95,23.29,44.30,0.00,0.00,
307.3,0.44,70.50,23.30,23.53,1000.04,23.29,44.50,0.00,0.00,
307.3,6.25,70.50,23.30,23.53,1000.07,23.29,44.90,0.00,0.00,
307.3,1.27,70.50,23.30,23.53,999.94,23.29,45.00,0.00,0.00,
307.3,1.27,70.50,23.20,23.42,999.98,23.19,44.10,0.00,0.00,
307.3,6.25,70.50,23.20,23.42,999.92,23.19,45.40,0.00,0.00,
323.7,4.59,70.50,23.20,23.42,1000.06,23.19,44.60,0.00,0.00,
307.3,2.93,70.50,23.20,23.42,999.94,23.19,44.10,0.00,0.00,
307.3,2.93,70.50,23.20,23.42,1000.01,23.19,44.10,0.00,0.00,
307.3,12.06,70.50,23.20,23.42,1000.08,23.19,45.30,0.00,0.00,
307.3,5.42,70.50,23.20,23.42,1000.04,23.19,44.90,0.00,0.00,
307.3,7.91,70.50,23.20,23.42,1000.01,23.19,45.50,0.00,0.00,
307.3,10.40,70.50,23.20,23.42,1000.05,23.19,45.40,0.00,0.00,
307.3,4.59,70.50,23.20,23.42,1000.09,23.19,45.20,0.00,0.00,
307.3,7.91,70.50,23.20,23.42,999.90,23.19,45.00,0.00,0.00,
307.3,12.89,70.50,23.20,23.42,999.98,23.19,44.00,0.00,0.00,
307.3,-0.39,70.50,23.20,23.42,1000.03,23.19,45.40,0.00,0.00,
307.3,8.74,70.50,23.20,23.42,999.92,23.19,44.50,0.00,0.00,
307.3,1.27,70.50,23.20,23.42,999.92,23.19,45.50,0.00,0.00,
307.3,8.74,70.50,23.20,23.42,999.91,23.19,44.80,0.00,0.00,
307.3,2.10,70.50,23.20,23.42,1000.01,23.19,45.40,0.00,0.00,
307.3,0.44,70.50,23.20,23.42,1000.01,23.19,44.10,0.00,0.00,
307.3,7.91,70.50,23.20,23.42,1000.06,23.19,44.80,0.00,0.00,
307.3,10.40,70.50,23.20,23.42,1000.09,23.19,45.40,0.00,0.00,
307.3,9.57,70.50,23.20,23.42,1000.02,23.19,44.70,0.00,0.00,
307.3,-2.05,70.50,23.20,23.42,1000.09,23.19,44.70,0.00,0.00,
307.3,4.59,70.50,23.20,23.42,999.99,23.19,44.90,0.00,0.00,
307.3,-1.22,70.50,23.20,23.42,999.96,23.19,44.20,0.00,0.00,
307.3,3.76,70.50,23.20,23.42,1000.03,23.19,44.60,0.00,0.00,
307.3,3.76,70.50,23.20,23.42,1000.04,23.19,44.40,0.00,0.00,
307.3,0.44,70.50,23.20,23.42,999.96,23.19,45.00,0.00,0.00,
